"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2026/03/03","ENEOS","本人","1回払い","5780","0","5780","5780","0","*"
"2026/03/03","MOBILE SUICA","本人","1回払い","3110","0","3110","3110","0","*"
"2026/03/03","RAKUTEN ICHIBA","本人","1回払い","2310","0","2310","2310","0","*"
"2026/03/03","RAKUTEN ICHIBA","本人","1回払い","4630","0","4630","4630","0","*"
"2026/03/03","SAIZERIYA","本人","1回払い","2930","0","2930","2930","0","*"
"2026/03/04","OISIX","本人","1回払い","4470","0","4470","4470","0","*"
"2026/03/04","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/03/06","AMAZON.CO.JP","本人","1回払い","12160","0","12160","12160","0","*"
"2026/03/07","AMAZON.CO.JP","本人","1回払い","9770","0","9770","9770","0","*"
"2026/03/07","MATSUMOTO KIYOSHI","本人","1回払い","960","0","960","960","0","*"
"2026/03/10","AMAZON.CO.JP","本人","1回払い","11200","0","11200","11200","0","*"
"2026/03/10","JR EAST","本人","1回払い","420","0","420","420","0","*"
"2026/03/11","OISIX","本人","1回払い","4620","0","4620","4620","0","*"
"2026/03/12","NETFLIX.COM","本人","1回払い","1590","0","1590","1590","0","*"
"2026/03/12","TIMES PARKING","本人","1回払い","1930","0","1930","1930","0","*"
"2026/03/14","STARBUCKS","本人","1回払い","690","0","690","690","0","*"
"2026/03/16","SAIZERIYA","本人","1回払い","1720","0","1720","1720","0","*"
"2026/03/16","TIMES PARKING","本人","1回払い","1130","0","1130","1130","0","*"
"2026/03/17","YOKOHAMA WATERWORKS","本人","1回払い","4620","0","4620","4620","0","*"
"2026/03/18","APPLE.COM/BILL","本人","1回払い","150","0","150","150","0","*"
"2026/03/18","OISIX","本人","1回払い","7350","0","7350","7350","0","*"
"2026/03/18","RAKUTEN ICHIBA","本人","1回払い","5110","0","5110","5110","0","*"
"2026/03/18","SEVEN-ELEVEN","本人","1回払い","1470","0","1470","1470","0","*"
"2026/03/19","ANYTIME FITNESS","本人","1回払い","8140","0","8140","8140","0","*"
"2026/03/19","SEIYU","本人","1回払い","2820","0","2820","2820","0","*"
"2026/03/19","SEIYU","本人","1回払い","2940","0","2940","2940","0","*"
"2026/03/20","JR EAST","本人","1回払い","1960","0","1960","1960","0","*"
"2026/03/21","JR TOKAI","本人","1回払い","13920","0","13920","13920","0","*"
"2026/03/22","NTT EAST","本人","1回払い","4950","0","4950","4950","0","*"
"2026/03/23","LAWSON","本人","1回払い","520","0","520","520","0","*"
"2026/03/23","SOMPO JAPAN","本人","1回払い","4230","0","4230","4230","0","*"
"2026/03/25","SEIYU","本人","1回払い","5640","0","5640","5640","0","*"
"2026/03/25","YOSHINOYA","本人","1回払い","1070","0","1070","1070","0","*"
"2026/03/26","NIHON KEIZAI SHIMBUN","本人","1回払い","4800","0","4800","4800","0","*"
"2026/03/26","NTT DOCOMO","本人","1回払い","5942","0","5942","5942","0","*"
"2026/03/26","TEPCO","本人","1回払い","8421","0","8421","8421","0","*"
"2026/03/28","TOKYO GAS CO LTD","本人","1回払い","5124","0","5124","5124","0","*"
"2026/04/01","SEIYU","本人","1回払い","2920","0","2920","2920","0","*"
"2026/04/02","MOBILE SUICA","本人","1回払い","9120","0","9120","9120","0","*"
"2026/04/03","MATSUMOTO KIYOSHI","本人","1回払い","1770","0","1770","1770","0","*"
"2026/04/03","SPOTIFY P0C8A7","本人","1回払い","1080","0","1080","1080","0","*"
"2026/04/04","OISIX","本人","1回払い","5480","0","5480","5480","0","*"
